Conv1,197191
Conv1,197262
Conv1,197399
Conv2,1624034
Conv2,1625602
Conv2,1867458
Conv3,606707
Conv3,638624
Conv3,943618
Conv4,1211507
Conv4,1272224
Conv4,1883650
Conv5,468013
Conv5,584352
Conv5,661257
Conv6,934573
Conv6,1164960
Conv6,1314441
Conv7,934573
Conv7,1164960
Conv7,1314441
Conv8,402264
Conv8,559520
Conv8,635785
Conv9,796248
Conv9,1112480
Conv9,1257865
Conv10,796248
Conv10,1112480
Conv10,1257865
Conv11,168449
Conv11,202752
Conv11,259299
Conv12,168449
Conv12,202752
Conv12,259299
Conv13,168449
Conv13,202752
Conv13,259299
Conv14,4184123
Conv14,6422538
Conv14,7024679
Conv15,683707
Conv15,1048586
Conv15,1146919
Conv16,167091
Conv16,256013
Conv16,281659