Layer Name,IFMAP Height,IFMAP Width,Filter Height,Filter Height,Channels,Num Filter,Stride
Conv1,224,224,3,3,3,32,2,
Conv2,112,112,3,3,1,32,1,
Conv3,112,112,1,1,32,16,1,
Conv4,112,112,1,1,16,96,1,
Conv5,112,112,3,3,1,96,2,
Conv6,56,56,1,1,96,24,1,
Conv7,56,56,1,1,24,144,1,
Conv8,56,56,3,3,1,144,1,
Conv9,56,56,1,1,144,24,1,
Conv10,56,56,1,1,24,144,1,
Conv11,56,56,3,3,1,144,2,
Conv12,28,28,1,1,144,32,1,
Conv13,28,28,1,1,32,192,1,
Conv14,28,28,3,3,1,192,1,
Conv15,28,28,1,1,192,32,1,
Conv16,28,28,1,1,32,192,1,
Conv17,28,28,3,3,1,192,1,
Conv18,28,28,1,1,192,32,1,
Conv19,28,28,1,1,32,192,1,
Conv20,28,28,3,3,1,192,2,
Conv21,14,14,1,1,192,64,1,
Conv22,14,14,1,1,64,384,1,
Conv23,14,14,3,3,1,384,1,
Conv24,14,14,1,1,384,64,1,
Conv25,14,14,1,1,64,384,1,
Conv26,14,14,3,3,1,384,1,
Conv27,14,14,1,1,384,64,1,
Conv28,14,14,1,1,64,384,1,
Conv29,14,14,3,3,1,384,1,
Conv30,14,14,1,1,384,64,1,
Conv31,14,14,1,1,64,384,1,
Conv32,14,14,3,3,1,384,1,
Conv33,14,14,1,1,384,96,1,
Conv34,14,14,1,1,96,576,1,
Conv35,14,14,3,3,1,576,1,
Conv36,14,14,1,1,576,96,1,
Conv37,14,14,1,1,96,576,1,
Conv38,14,14,3,3,1,576,1,
Conv39,14,14,1,1,576,96,1,
Conv40,14,14,1,1,96,576,1,
Conv41,14,14,3,3,1,576,2,
Conv42,7,7,1,1,576,160,1,
Conv43,7,7,1,1,160,960,1,
Conv44,7,7,3,3,1,960,1,
Conv45,7,7,1,1,960,160,1,
Conv46,7,7,1,1,160,960,1,
Conv47,7,7,3,3,1,960,1,
Conv48,7,7,1,1,960,160,1,
Conv49,7,7,1,1,160,960,1,
Conv50,7,7,3,3,1,960,1,
Conv51,7,7,1,1,960,320,1,
Conv52,7,7,1,1,320,1280,1,
Conv53,1,1,1,1,1280,1000,1,