Conv1, 197262, 32, 2, 3, 1, 6, 37, 3,1,0.1875,2,memory bound
Conv2, 591760, 64, 1, 32, 2, 14, 16, 3,1,0.25,2,memory bound
Conv3, 152480, 128, 1, 64, 1, 22, 5, 3,1,0.625,2,compute bound
Conv4, 296480, 128, 1, 64, 2, 22, 5, 3,1,0.625,2,compute bound
Conv5, 158336, 128, 2, 64, 2, 28, 2, 3,1,0.625,2,compute bound
Conv6, 305792, 128, 2, 64, 4, 28, 2, 3,1,0.625,2,compute bound
Conv7, 305792, 128, 2, 64, 4, 28, 2, 3,1,0.625,2,compute bound
Conv8, 124051, 172, 3, 64, 4, 26, 1, 3,1,0.4418604651162791,2,compute bound
Conv9, 233600, 512, 1, 64, 8, 26, 1, 3,1,0.53125,2,compute bound
Conv10, 233600, 512, 1, 64, 8, 26, 1, 3,1,0.53125,2,compute bound
Conv11, 148608, 64, 8, 16, 32, 12, 1, 3,1,0.1875,2,memory bound
Conv12, 148608, 64, 8, 16, 32, 12, 1, 3,1,0.1875,2,memory bound
Conv13, 148608, 64, 8, 16, 32, 12, 1, 3,1,0.1875,2,memory bound
Conv14, 6422754, 32, 128, 112, 224, 1, 1, 1,1,0.1875,2,memory bound
Conv15, 1048706, 32, 128, 64, 64, 1, 1, 1,1,0.1875,2,memory bound
Conv16, 256163, 40, 25, 64, 64, 1, 1, 1,1,0.2,2,memory bound
latency cycles: 10772600
latency: 50.3392523364486 ms